SA2_MAINCODE_2016,UIE_IDNS_OMOE_Nil_em,UIE_IDNS_OMOE_1_19_em,UIE_IDNS_OMOE_20more_em,UIE_IDNS_OMOE_NE_NS,UIE_IDNS_Tot,UIE_Tot_OMOE_Nil_em,UIE_Tot_OMOE_1_19_em,UIE_Tot_OMOE_20more_em,UIE_Tot_OMOE_NE_NS,UIE_Tot_Tot
101021007,11,4,0,0,17,195,52,0,5,258
101021008,3,0,0,0,5,75,19,0,0,93
101021009,10,0,0,0,10,174,75,3,0,257
101021010,8,0,0,0,4,89,28,3,0,124
101021011,13,8,0,0,24,310,92,0,11,414
101021012,7,0,0,0,3,139,45,3,0,191
101031013,0,0,0,0,0,86,58,0,4,146
101031014,10,0,0,0,11,161,110,6,7,286
101031015,3,3,0,0,3,108,80,0,8,196
101031016,9,8,0,0,17,267,137,0,16,416
101041017,15,3,0,0,19,228,133,10,3,371
101041018,6,4,0,0,10,168,56,5,7,226
101041019,13,0,0,3,19,224,120,9,9,359
101041020,13,9,0,0,16,318,122,0,16,456
101041021,0,0,0,0,0,81,30,0,0,106
101041022,0,0,0,0,0,0,0,0,0,0
101041023,0,0,0,0,3,61,34,0,3,102
101041024,9,3,0,0,9,121,45,0,11,178
101041025,14,3,0,0,17,296,154,3,8,464
101041026,14,3,0,0,19,233,115,0,4,359
101041027,12,0,0,0,14,315,127,0,7,446
101051539,18,7,0,0,26,421,208,5,10,640
101051540,17,0,0,0,17,319,172,0,20,511
101061541,12,3,0,0,10,132,80,3,0,220
101061542,15,0,0,0,12,279,115,0,4,399
101061543,11,7,0,0,19,176,147,7,11,338
101061544,4,3,0,0,7,205,130,0,13,354
102011028,11,0,0,0,15,216,57,0,0,271
102011029,19,0,0,0,19,281,55,3,4,339
102011030,12,3,0,0,14,281,83,0,10,378
102011031,20,3,0,0,25,417,161,3,3,586
102011032,31,10,0,0,40,610,243,14,13,873
102011033,4,0,0,0,4,91,18,0,0,111
102011034,5,3,0,0,8,147,65,0,3,212
102011035,3,0,0,0,3,85,7,0,3,99
102011036,13,0,0,0,9,138,24,0,0,166
102011037,3,0,0,0,3,115,17,0,0,133
102011038,3,0,0,0,3,139,33,0,0,175
102011039,21,3,0,0,23,363,78,3,6,453
102011040,16,3,0,0,22,459,119,6,3,585
102011041,10,0,0,0,10,228,57,0,4,292
102011042,12,0,0,0,15,209,99,7,5,319
102011043,10,0,0,0,10,183,60,0,0,241
102021044,14,0,0,3,20,322,95,0,11,423
102021045,0,3,0,0,3,118,23,0,0,146
102021046,8,7,0,0,6,118,40,0,0,160
102021047,17,3,0,0,21,320,100,0,3,423
102021048,13,3,0,0,14,272,66,0,3,346
102021049,11,0,0,0,9,94,9,0,0,105
102021050,3,0,0,0,9,118,38,0,0,157
102021051,9,0,0,0,9,109,33,0,0,143
102021052,4,0,0,0,3,71,19,0,0,93
102021053,6,3,0,0,14,268,104,5,4,378
102021054,3,0,0,0,7,174,86,0,6,264
102021055,16,3,0,0,19,241,81,3,0,326
102021056,18,7,0,0,24,291,82,3,4,381
102021057,18,4,0,0,17,169,67,0,3,242
